,Z,N,E,S,W
1.1833333333333333,9625.788195294646,14977.325386365044,7300.2452423094255,7310.986772192306,12932.565738859967
1.2,9617.956044377093,14871.704433777877,7274.678352147804,7313.847836401987,12912.115838587135
1.2166666666666666,9610.751159933016,14766.086514577213,7248.938091779873,7316.436686881877,12892.18613729297
1.2333333333333334,9603.854173506641,14661.14794807854,7223.494099377372,7318.839849755829,12873.03361572045
1.25,9596.96099271835,14557.319169801876,7198.388638730325,7321.2482697515425,12855.12684083354
1.2666666666666666,9589.72334793969,14455.035149356423,7173.650916843597,7323.836966483014,12838.534636256401
1.2833333333333332,9582.244890561773,14355.026010797877,7149.386253967733,7326.520935911009,12823.181132869457
1.3,9574.169165242334,14257.189824531846,7125.220505181509,7329.19052359272,12808.6382565
1.3166666666666667,9565.790552945344,14161.69077839352,7101.024217300668,7331.7650264295235,12794.60629794193
1.3333333333333333,9557.307144361364,14067.710362871,7076.567178888286,7334.57016680487,12780.800490154035
1.35,9548.87298630822,13974.931630028173,7051.766899372854,7337.172350790916,12766.609285202485
1.3666666666666667,9540.46256199862,13882.64245404483,7026.914862243726,7339.569892261598,12751.542294579975
1.3833333333333333,9531.947548049948,13790.223936770477,7002.287893340858,7342.195239709321,12735.325285068742
1.4,9523.206064996271,13697.621780247553,6978.811503012837,7344.656520882427,12717.781961825896
1.4166666666666667,9513.836298281729,13604.758510498901,6957.201797923868,7347.37535961536,12698.94054854548
1.4333333333333333,9503.575126231253,13511.701677334138,6938.022311214816,7350.3293222504,12678.971164542076
1.45,9491.888470084172,13418.282232556376,6921.560594487665,7353.555171252738,12658.421362575627
1.4666666666666666,9478.92538698465,13324.915273495284,6907.631396218866,7356.99562032444,12637.626472787604
1.4833333333333334,9464.681165314656,13231.600422430747,6895.829623840822,7360.495713372032,12617.102864891638
1.5,9449.32508218638,13138.136033137642,6885.101187826722,7364.20322917947,12596.856354050471
1.5166666666666666,9432.849498636951,13044.606160488482,6874.536196781856,7367.971421420261,12576.868380195983
1.5333333333333332,9415.803998937265,12951.056762839167,6863.399816413398,7371.429470354177,12556.923609278316
1.55,9398.366969395078,12857.644531089762,6851.37450530095,7374.9393774171485,12536.49091291324
1.5666666666666667,9380.643039706312,12764.11354530052,6838.295840727986,7378.223718539604,12515.242283225603
1.5833333333333333,9362.774012471842,12670.880902618223,6824.284846046648,7381.387944525898,12492.953845001111
1.6,9344.820793130197,12577.697487823792,6809.670123333162,7384.358642155754,12469.42952397974
1.6166666666666667,9327.02646545934,12485.139224408389,6795.034254095146,7387.608006860642,12444.893811215685
1.6333333333333333,9309.425003606391,12392.826285934127,6780.505361174732,7390.780477323877,12419.507484702099
1.65,9292.304941496524,12301.638798360045,6766.300727373128,7394.211733422146,12393.620529653008
1.6666666666666667,9275.832414530214,12211.619314386526,6752.334531870918,7397.269391143436,12367.487675407954
1.6833333333333333,9260.072009269634,12123.934476531362,6738.365191593267,7400.1570616778845,12341.06941326016
1.7,9244.899623247607,12038.454453635317,6724.473714707287,7403.038102856396,12314.060747746136
1.7166666666666666,9229.93284947943,11956.415092445863,6710.603432610396,7405.302437244887,12286.108912419022
1.7333333333333334,9214.5778013253,11877.991067792762,6696.928758509078,7407.63268767859,12256.761908864519
1.75,9198.220503988592,11803.691371274812,6683.642305910182,7409.416362881492,12225.927005709045
1.7666666666666666,9180.313908340579,11733.358373572253,6671.07257376162,7410.91732214218,12193.878185957794
1.7833333333333332,9160.635148810945,11666.803155857075,6659.568950749095,7412.130014433952,12161.247623708046
1.8,9138.45571926864,11603.182343119217,6649.203779424825,7412.913154337478,12128.984159128826
1.8166666666666667,9114.243369027176,11541.67332015668,6639.91006957549,7413.7932473752535,12098.120077833202
1.8333333333333333,9087.853590445657,11480.948756704765,6631.523041941399,7414.503079532523,12069.389255735365
1.8499999999999999,9059.536979291073,11419.62129438742,6623.6633097707,7415.43184824116,12043.007597016056
1.8666666666666667,9029.218420851277,11356.468498286547,6616.053549989606,7416.256760623356,12018.955361320803
1.8833333333333333,8997.20106284465,11290.705188448312,6608.288438332405,7417.154145088222,11996.921892265531
1.9,8963.52116372236,11221.711399113257,6600.1988238950635,7418.195489789005,11976.438137749992
1.9166666666666667,8927.455530947607,11149.734129396673,6591.817952754824,7418.919174319824,11957.062271177529
1.9333333333333333,8889.663609622414,11075.442089048422,6583.3317424380075,7419.922568936683,11938.454358698198
1.95,8850.350777137835,10999.644969286534,6574.887432422058,7420.312223404037,11920.619966746588
1.9666666666666666,8809.906736977779,10923.354752250467,6566.785982976918,7420.815902380983,11903.989023723392
1.9833333333333334,8769.049114527414,10847.780965368354,6558.934977973931,7421.079966499052,11888.884209771357
2.0,8728.472168840608,10773.624071931416,6551.428995120405,7421.011458796628,11875.653102317607
2.0166666666666666,8688.846671558937,10701.803284464397,6544.16095501801,7421.3422882688665,11864.416908922838
2.033333333333333,8650.586264144482,10633.130845943622,6537.23137461503,7421.282985130684,11854.815692856188
2.05,8614.217916670352,10567.608667191244,6530.619356788577,7421.407964162539,11846.254979559571
2.0666666666666664,8579.939700234092,10505.349766306794,6524.476689898072,7421.646042757103,11838.038388089457
2.0833333333333335,8547.659698014324,10446.151969167306,6518.917802907205,7421.71399204779,11829.19977306462
2.1,8517.217228782365,10389.689878006435,6514.450266249555,7421.854938749225,11818.624312128113
2.1166666666666667,8488.296759033614,10335.2788599815,6511.301475481497,7422.036401492585,11805.673293219246
2.1333333333333333,8460.549916074357,10282.751519774849,6509.797161196092,7421.649091500087,11790.296846061998
2.15,8433.742831809808,10231.339111319961,6509.7465107229145,7421.413933161169,11772.636236165703
2.1666666666666665,8407.68952487414,10180.793355259177,6510.991475280583,7420.644101148959,11753.08974841014
2.183333333333333,8382.248945905496,10131.091262903165,6513.207558723385,7419.867457481138,11732.297410400046
2.2,8357.093937789163,10081.785588636709,6515.971688435218,7418.895348967813,11711.062902227035
2.216666666666667,8332.106437518225,10032.414788230413,6518.638299589547,7417.3048513266895,11689.984604617948
2.2333333333333334,8307.02788895019,9982.803441265649,6520.712653353209,7416.069222094612,11669.62254202958
2.25,8281.50351311303,9932.6405925877,6521.996166047967,7414.299644576343,11650.155385527343
2.2666666666666666,8255.619496569638,9881.759979231438,6522.577701407679,7412.630276606987,11631.766667653803
2.283333333333333,8229.099104807978,9830.316248786501,6522.899552126994,7410.699106160349,11614.371096749695
2.3,8201.873688149743,9778.001205836508,6523.315748151942,7407.962149761993,11597.513634215838
2.3166666666666664,8174.409492936478,9725.336921730926,6524.13534263143,7405.336769334549,11580.885340441122
2.3333333333333335,8146.712154644102,9672.664703319215,6525.402243961242,7401.886607829341,11564.010042855818
2.35,8119.00385593962,9620.134124041855,6527.1131914733105,7398.08546416997,11546.798413822056
2.3666666666666667,8091.582412322968,9568.257177303529,6529.2789167937335,7394.471643085441,11529.150548792979
2.3833333333333333,8064.613949297972,9516.982624633461,6531.64661957555,7390.575953474224,11511.087050142387
2.4,8038.001995364263,9466.486418457127,6534.242661442546,7387.076826138529,11492.710350822652
2.4166666666666665,8011.993871405701,9416.17434922095,6537.294942147662,7383.493740160808,11474.39847340042
2.433333333333333,7986.829070770055,9365.848114054816,6540.962470568921,7379.860856742599,11455.951628461153
2.45,7962.427617138244,9314.584274105764,6545.154454088266,7376.729033905666,11437.16260477918
2.466666666666667,7938.991963193283,9262.180726363664,6549.547080450065,7373.0883354300695,11417.812916702977
2.4833333333333334,7916.600551159279,9208.184821655375,6553.784717381167,7369.708515218038,11397.591744969353
2.5,7894.982575118453,9152.508649085252,6557.398272737098,7366.178979910787,11376.084636982907
2.5166666666666666,7874.066299902294,9095.710238216654,6559.906119225082,7362.221459686514,11353.397977299932
2.533333333333333,7853.521127677273,9038.295192450145,6560.836188962938,7358.6499526875905,11330.277746306348
2.55,7832.991429181742,8980.824543439361,6559.932325706346,7354.535962563248,11307.291729838962
2.5666666666666664,7812.373257316448,8924.105880369545,6557.589996724222,7350.719167284278,11285.065727948304
2.5833333333333335,7791.454094841614,8868.491575537382,6554.235006900826,7346.696170145539,11264.093190034107
2.6,7770.291363289077,8815.027550630852,6550.63043445367,7342.241518959197,11244.395632991183
2.6166666666666667,7748.820170521112,8763.829264858572,6547.260326439052,7337.6745606727045,11225.879602990794
2.6333333333333333,7727.215333510767,8715.245832729108,6544.421006476282,7332.683487649017,11207.842015181173
2.65,7705.81902416235,8669.07296219614,6542.350218048008,7327.6200022195335,11189.092775557621
2.6666666666666665,7684.682409943009,8625.372714325955,6541.056209857886,7322.120447382649,11168.587994307873
2.683333333333333,7664.022273471688,8583.465079559854,6540.2872487646455,7316.070281790509,11145.91128820785
2.7,7643.860008792711,8543.433416091235,6539.381151576366,7309.82867812178,11120.959227333153
2.716666666666667,7624.370007142995,8504.518230846857,6537.69648880561,7302.9061892713,11094.398120947773
2.7333333333333334,7605.004662550728,8466.930977727221,6534.8755025531445,7295.3814542512155,11067.3252433632
2.75,7585.672395537668,8430.010904371424,6531.2404604026715,7287.375147069565,11040.91581609692
2.7666666666666666,7566.123071909667,8394.172019339905,6527.527320053954,7279.275123296425,11015.792034544273
2.783333333333333,7545.782457387182,8359.293953541304,6524.118173289,7270.968427473909,10992.718884531032
2.8,7524.998321561443,8325.5187605933,6521.430796369216,7262.705747548397,10971.95203008712
2.8166666666666664,7503.151334314517,8292.784428723175,6519.550084239868,7254.6671924175125,10952.879359252162
2.8333333333333335,7480.750705864061,8260.903293544916,6518.201787060966,7246.5632870906065,10935.255732523154
2.85,7457.964885328026,8229.8974854061,6516.843581318081,7239.084113534627,10918.619469080519
2.8666666666666667,7434.810348387977,8199.841515932214,6514.406662510429,7231.747519433415,10902.606858234696
