x,y,z
-31.499647,-70.148279,1.359
-26.999513,-70.147708,1.353
-22.500168,-70.14831,1.259
-18.000034,-70.147739,1.235
-29.250062,-74.044666,1.38
-24.749737,-74.045077,1.145
-20.249602,-74.044506,1.214
-42.74994,-27.280195,0.433
-38.249805,-27.279624,0.808
-33.749479,-27.280035,0.888
-44.999508,-31.176962,0.715
-40.499374,-31.176392,0.98
-36.000029,-31.176994,0.939
-31.499895,-31.176423,1.197
-47.250058,-35.073921,0.953
-42.749732,-35.074332,0
-38.249598,-35.073761,0.964
-33.749272,-35.074172,1.037
-29.250119,-35.073792,1.318
-44.9993,-38.971099,1.46
-40.500148,-38.970719,1.171
-35.999822,-38.97113,1.153
-31.499687,-38.97056,1.718
-42.749524,-42.868468,0.942
-38.24939,-42.867897,1.312
-33.750046,-42.8685,1.273
-17.998224,38.972111,-0.365
-13.49888,38.971508,-0.422
-8.998745,38.972079,-0.413
-20.248582,35.074171,-0.276
-15.748448,35.074741,-0.175
-11.248122,35.074331,-0.057
-6.748969,35.07471,-0.19
-22.498151,31.177403,-0.203
-17.998998,31.177783,-0.17
-13.498672,31.177372,-0.234
-8.998538,31.177943,-0.145
-4.498212,31.177532,-0.034
-20.248375,27.280034,-0.236
-15.74824,27.280605,-0.114
-11.248896,27.280003,-0.164
-6.748762,27.280573,0.155
-17.99879,23.383646,-0.191
-13.498464,23.383235,0.162
-8.99833,23.383806,0.19
-58.499728,-15.588247,0.448
-53.999402,-15.588658,0.573
-49.499268,-15.588087,0.524
-60.749296,-19.485014,0.601
-56.249952,-19.485616,0.566
-51.749817,-19.485046,0.701
-47.249492,-19.485456,0.63
-62.999655,-23.382954,0.581
-58.49952,-23.382383,0.652
-53.999194,-23.382794,1.217
-49.500041,-23.382415,0.785
-44.999716,-23.382826,0.777
-60.75007,-27.279342,0.689
-56.249744,-27.279753,0.744
-51.74961,-27.279182,0.932
-47.249284,-27.279593,0.741
-58.499313,-31.17652,0.968
-53.999968,-31.177122,0.943
-49.499834,-31.176551,0.837
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-53.998779,-38.971067,1.214
-49.498453,-38.971478,1.087
-65.248616,-42.868976,1.084
-60.748482,-42.868405,1.021
-56.249138,-42.869007,1.219
-51.749003,-42.868437,1.174
-47.248677,-42.868847,1.239
-62.999032,-46.765364,1.097
-58.498706,-46.765774,1.108
-53.998572,-46.765204,1.277
-49.499227,-46.765806,1.184
-60.749256,-50.662733,1.403
-56.24893,-50.663144,1.264
-51.748796,-50.662573,1.288
45.000737,-7.794701,1.819
49.49989,-7.794321,1.745
54.000216,-7.794732,1.357
42.750188,-11.691659,1.689
47.250322,-11.691089,1.773
51.750648,-11.691499,1.645
56.249801,-11.69112,1.204
40.500619,-15.588426,0
44.999963,-15.589029,2.022
49.500098,-15.588458,1.543
54.000424,-15.588869,1.056
58.500558,-15.588298,0.936
42.750395,-19.485796,1.321
47.25053,-19.485225,1.563
51.749874,-19.485827,1.278
56.250008,-19.485257,0.761
45.000171,-23.383165,1.181
49.500305,-23.382595,0.988
54.000631,-23.383005,0.752
31.500102,23.382288,0.875
36.000237,23.382858,0.992
40.500563,23.382448,1.157
29.250534,19.485521,1.268
33.75086,19.48511,1.255
38.250013,19.485489,1.172
42.750339,19.485078,1.416
26.999984,15.588562,1.249
31.50031,15.588151,1.4
36.000444,15.588722,1.345
40.50077,15.588311,1.544
44.999923,15.58869,1.649
29.250741,11.691384,1.352
33.750086,11.690782,1.558
38.25022,11.691353,1.851
42.750546,11.690942,1.71
31.500518,7.794015,1.607
36.000652,7.794585,1.873
40.499996,7.793983,2.508
29.249968,3.897056,2.345
33.750294,3.896645,2.63
38.250428,3.897216,2.428
27.000399,0.000289,2.751
31.500725,-0.000122,2.52
35.999878,0.000257,2.344
40.500204,-0.000153,1.961
24.750041,-3.897651,2.483
